Index_No,Chemical_Name,CAS_No,Hazard_Statement_Codes,SCL_M_Factors
006-005-00-4,thiram (ISO); tetramethylthiuram disulphide,137-26-8,H332 | H302 | H373 ** | H315 | H319 | H317 | H400 | H410 |,M=10 |
006-011-00-7,carbaryl (ISO); 1-naphthyl methylcarbamate,63-25-2,H351 | H332 | H302 | H400 |,M=100 |
006-012-00-2,ziram (ISO); zinc bis dimethyldithiocarbamate,137-30-4,H330 | H302 | H335 | H373 ** | H318 | H317 | H400 | H410 |,M=100 |
006-035-00-8,"pirimicarb (ISO); 2-(dimethylamino)-5,6-dimethylpyrimidin-4-yl dimethylcarbamate",23103-98-2,H351 | H331 | H301 | H317 | H400 | H410 |,M=10 | M=100 |
006-044-00-7,"isoproturon (ISO); | 3-(4-isopropylphenyl)-1,1-dimethylurea",34123-59-6,H351 | H373 (blood) | H400 | H410 |,M=10 | M=10 |
006-045-00-2,methomyl (ISO); 1-(methylthio)ethylideneamino N-methylcarbamate,16752-77-5,H300 | H400 | H410 |,M=100 |
006-046-00-8,"bendiocarb (ISO); 2,2-dimethyl-1,3-benzodioxol-4-yl N-methylcarbamate; 2,2-dimethyl-1,3-benzodioxol-4-yl methylcarbamate",22781-23-3,H300 | H331 | H311 | H400 | H410 |,M=10 | M=100 |
006-069-00-3,"thiophanate-methyl (ISO); | dimethyl (1,2-phenylenedicarbamo-thioyl)biscarbamate; dimethyl 4,4′-(o-phenylene) bis(3-thioallophanate)",23564-05-8,H351 | H341 | H332 | H317 | H400 | H410 |,Inhalation: ATE = 1.7 mg/L (dusts/mists) | M=10 | M=10 |
006-076-00-1,mancozeb (ISO); | manganese ethylenebis(dithiocarbamate) (polymeric) complex with zinc salt,8018-01-7,"H351 | H360D | H373 (thyroid, nervous system) | H317 | H400 | H410 |",M=10 | M=10 |
006-077-00-7,maneb (ISO); manganese ethylenebis(dithiocarbamate) (polymeric),12427-38-2,H361d *** | H332 | H319 | H317 | H400 | H410 |,M=10 |
